,賣場,品名,品牌,種類,價格,圖片
51,家樂福,倍潔雅柔軟舒適抽取衛生紙(150抽/包),舒適,抽取,$187,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw4af752b6/images/large/0216169.jpeg?sw=300&bgcolor=FFFFFF
52,家樂福,五月花三層捲筒衛生紙-6捲,五月花,捲筒,"$1,888",https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwf92b4e93/images/large/0239100_-200.jpeg?sw=300&bgcolor=FFFFFF
53,家樂福,家樂福抽取式花紋衛生紙(FSC)130PCx12,家樂福,抽取,$139,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw193436fd/images/large/0234239_-fsc130x12.jpeg?sw=300&bgcolor=FFFFFF
54,家樂福,家樂福抽取式花紋衛生紙(FSC)130PCx12包x6袋,家樂福,抽取,$834,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwaf87aea4/images/large/0234240_-fsc130x12.jpeg?sw=300&bgcolor=FFFFFF
55,家樂福,家樂福抽取式衛生紙-過年版100PCx24包x4袋,家樂福,抽取,$756,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw8debd281/images/large/1220111500101.png?sw=300&bgcolor=FFFFFF
56,家樂福,五月花三層捲筒衛生紙-6l捲,五月花,捲筒,$118,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw6fe026e5/images/large/0239099_-200.jpeg?sw=300&bgcolor=FFFFFF
57,家樂福,唯潔雅潔淨柔感抽取式衛生紙-150PC,唯潔雅,抽取,$160,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw7ec9dddd/images/large/0224090.jpeg?sw=300&bgcolor=FFFFFF
58,家樂福,家樂福抽取式花紋衛生紙-FSC-110PCx6包,家樂福,抽取,$690,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw72594744/images/large/0234234_-fsc-110x6.jpeg?sw=300&bgcolor=FFFFFF
59,家樂福,春風柔韌感山茶花抽取衛生紙-110PC,春風,抽取,$161,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw0b726fc1/images/large/0174848.jpeg?sw=300&bgcolor=FFFFFF
60,家樂福,家樂福超值捲筒式花紋衛生紙,家樂福,捲筒,$95,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwd9dc94a0/images/large/0207210.jpeg?sw=300&bgcolor=FFFFFF
61,家樂福,家樂福超值捲筒式花紋衛生紙,家樂福,捲筒,$760,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw0fa416a2/images/large/0207211.jpeg?sw=300&bgcolor=FFFFFF
62,家樂福,得意連續抽取衛生紙-大甲媽版,得意,抽取,$235,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwd944ece7/images/large/0199577_-.jpeg?sw=300&bgcolor=FFFFFF
63,家樂福,春風山茶花精華抽取式衛生紙-100PC,春風,抽取,$807,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwb7b72abf/images/large/0201609.jpeg?sw=300&bgcolor=FFFFFF
64,家樂福,春風山茶花精華抽取式衛生紙-100PC,春風,抽取,$269,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw634f093d/images/large/0201610.jpeg?sw=300&bgcolor=FFFFFF
65,家樂福,舒潔迪士尼抽取衛生紙超值包,舒潔,抽取,$299,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw73107a61/images/large/0185918.jpeg?sw=300&bgcolor=FFFFFF
66,家樂福,得意連續抽取衛生紙-大甲媽版,得意,抽取,$705,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw0ac11034/images/large/0206155_-.jpeg?sw=300&bgcolor=FFFFFF
67,家樂福,家樂福超值平版式花紋衛生紙-300PC,家樂福,平版,$89,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw46b0fe06/images/large/0207262.jpeg?sw=300&bgcolor=FFFFFF
68,家樂福,家樂福超值平版式花紋衛生紙-300PC,家樂福,平版,$534,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwd5364b1d/images/large/0210461.jpeg?sw=300&bgcolor=FFFFFF
69,家樂福,【家樂福省更多】家樂福優質三層抽取式衛生紙 100抽x24包/袋,家樂福,抽取,$329,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw81b3ca2e/images/large/0180502.jpeg?sw=300&bgcolor=FFFFFF
70,家樂福,五月花蓬厚柔三層抽取衛生紙110PC,五月花,抽取,$439,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwca8f51b5/images/large/0238361.jpeg?sw=300&bgcolor=FFFFFF
71,家樂福,舒潔 喀什米爾 4層抽取衛生紙乳木果精華-90PC(即日起-3/31 箱購活動請下6件只要1199元/不得併用折價券/折扣碼),舒潔,抽取,$310,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw237b265e/images/large/0257621_490.png?sw=300&bgcolor=FFFFFF
72,家樂福,舒潔絲柔乳液抽取衛生紙超值包-100PCx30包,舒潔,抽取,$399,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw0c71184c/images/large/0178420.jpeg?sw=300&bgcolor=FFFFFF
73,家樂福,舒潔棉柔舒適捲筒衛生紙300PCx12,舒潔,捲筒,$239,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dweef1c5b2/images/large/1220204900101.jpg?sw=300&bgcolor=FFFFFF
74,家樂福,舒潔兒童學習專用濕式衛生紙40抽,舒潔,濕式,$98,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw00f469dd/images/large/0241397_40.jpeg?sw=300&bgcolor=FFFFFF
75,家樂福,舒潔特級膚觸抽取衛生紙 90抽6包,舒潔,抽取,$99,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwf44a4cc7/images/large/1220115100101.jpg?sw=300&bgcolor=FFFFFF
76,家樂福,舒潔喀什米爾4層衛生紙86抽4包,舒潔,,$85,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw6150bf43/images/large/1220110200101.jpg?sw=300&bgcolor=FFFFFF
77,家樂福,家樂福環保抽取式衛生紙-100PCX12,家樂福,抽取,$115,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw2202f6d8/images/large/0251888_-100x12.jpeg?sw=300&bgcolor=FFFFFF
78,家樂福,唯潔雅抽取式衛生紙(平安福)90PCx14,唯潔雅,抽取,$142,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwe5a84209/images/large/1220108800101.jpg?sw=300&bgcolor=FFFFFF
79,家樂福,五月花舒敏厚棒抽取式衛生紙86PC,五月花,抽取,$245,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwa1e94795/images/large/0275018_8610.jpeg?sw=300&bgcolor=FFFFFF
80,家樂福,可麗舒豆卡聯名抽取衛生紙90抽6包(即日起-3/31 箱購活動請下12件只要779元/不得併用折價券/折扣碼),可麗舒,抽取,$69,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw1c39c09f/images/large/1220104500101.png?sw=300&bgcolor=FFFFFF
81,家樂福,五月花角落小夥伴衛生紙(FSC驗證)100PCx24,五月花,,$315,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw5a35357b/images/large/0275043_fsc100.jpeg?sw=300&bgcolor=FFFFFF
82,家樂福,家樂福超值連續抽取式花紋衛生紙輕巧包120抽,家樂福,抽取,$168,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw8b2eed17/images/large/0203814.jpeg?sw=300&bgcolor=FFFFFF
83,家樂福,【汽車百貨】YAC飲料紙巾多用途垃圾桶,,紙巾,$399,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwf139c6a5/images/large/35542007001-1.jpg?sw=300&bgcolor=FFFFFF
84,家樂福,五月花聰明萬用紙巾-120PC,五月花,紙巾,$88,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw850f3838/images/large/0238358.jpeg?sw=300&bgcolor=FFFFFF
85,家樂福,五月花聰明萬用紙巾-120PC,五月花,紙巾,$474,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwa50c0bd3/images/large/0238359.jpeg?sw=300&bgcolor=FFFFFF
86,家樂福,家樂福超值單抽式柔紙巾,家樂福,紙巾,$99,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw39342d0a/images/large/0181871.jpeg?sw=300&bgcolor=FFFFFF
87,家樂福,家樂福超值單抽式柔紙巾,家樂福,紙巾,$594,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw70267447/images/large/0090888.jpeg?sw=300&bgcolor=FFFFFF
88,家樂福,春風抽取式廚房紙巾120PCx3包x8袋,春風,抽取,$632,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw0a08a374/images/large/1222100900101.jpg?sw=300&bgcolor=FFFFFF
89,家樂福,得意廚房紙巾-70PCx6捲x8包,得意,紙巾,$552,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwf3cb91cb/images/large/0195425.jpeg?sw=300&bgcolor=FFFFFF
90,家樂福,倍潔雅好韌真3層抽取式PEFC,倍潔雅,抽取,$259,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwb49ea2a5/images/large/1220102800101.jpg?sw=300&bgcolor=FFFFFF
91,家樂福,倍潔雅好韌真Plus3層抽取茶樹精油抑菌,倍潔雅,抽取,$249,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw85894c16/images/large/1220105400101.jpg?sw=300&bgcolor=FFFFFF
92,家樂福,春風平版衛生紙-300PC張,春風,平版,$684,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwa9bb8afd/images/large/0099562.jpeg?sw=300&bgcolor=FFFFFF
93,家樂福,春風濕拭衛生紙40PCx3包,春風,,"$1,704",https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw487743d5/images/large/0263874.jpeg?sw=300&bgcolor=FFFFFF
94,家樂福,簡約木蓋衛生紙盒,,,$189,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw3d57bf92/images/large/31704048001001-1.jpg?sw=300&bgcolor=FFFFFF
95,家樂福,簡約木蓋衛生紙盒,,,$189,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwa72372ee/images/large/31704048003001-1.jpg?sw=300&bgcolor=FFFFFF
96,家樂福,浴室水晶抽取衛生紙盒,,抽取,$249,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwdacb79a0/images/large/0209722.jpeg?sw=300&bgcolor=FFFFFF
97,家樂福,家樂福濕式衛生紙,家樂福,濕式,$119,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw31d7a505/images/large/0232145.jpeg?sw=300&bgcolor=FFFFFF
98,家樂福,舒潔濕式衛生紙外出包,舒潔,濕式,$98,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dwb9c20db4/images/large/0041367.jpeg?sw=300&bgcolor=FFFFFF
99,家樂福,舒潔女性專用濕式衛生紙40PC,舒潔,濕式,$129,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw40692b2d/images/large/0265768.jpeg?sw=300&bgcolor=FFFFFF
